query_id,doc_id
tc_309,concat_tc_309
tc_310,concat_tc_310
tc_313,concat_tc_313
tc_314,concat_tc_314
tc_315,concat_tc_315
tc_317,concat_tc_317
tc_318,concat_tc_318
tc_319,concat_tc_319
tc_320,concat_tc_320
tc_321,concat_tc_321
tc_323,concat_tc_323
tc_324,concat_tc_324
tc_327,concat_tc_327
tc_328,concat_tc_328
tc_329,concat_tc_329
tc_330,concat_tc_330
tc_331,concat_tc_331
tc_332,concat_tc_332
tc_333,concat_tc_333
tc_334,concat_tc_334
tc_335,concat_tc_335
tc_336,concat_tc_336
tc_337,concat_tc_337
tc_338,concat_tc_338
tc_339,concat_tc_339
tc_340,concat_tc_340
tc_345,concat_tc_345
tc_351,concat_tc_351
tc_354,concat_tc_354
tc_355,concat_tc_355
tc_357,concat_tc_357
tc_358,concat_tc_358
tc_360,concat_tc_360
tc_365,concat_tc_365
tc_368,concat_tc_368
tc_370,concat_tc_370
tc_374,concat_tc_374
tc_381,concat_tc_381
tc_384,concat_tc_384
tc_385,concat_tc_385
tc_386,concat_tc_386
tc_388,concat_tc_388
tc_389,concat_tc_389
tc_394,concat_tc_394
tc_400,concat_tc_400
tc_402,concat_tc_402
tc_404,concat_tc_404
tc_405,concat_tc_405
tc_412,concat_tc_412
tc_417,concat_tc_417
tc_418,concat_tc_418
tc_421,concat_tc_421
tc_434,concat_tc_434
tc_439,concat_tc_439
tc_442,concat_tc_442
tc_448,concat_tc_448
tc_451,concat_tc_451
tc_454,concat_tc_454
tc_457,concat_tc_457
tc_462,concat_tc_462
tc_467,concat_tc_467
tc_474,concat_tc_474
tc_476,concat_tc_476
tc_477,concat_tc_477
tc_479,concat_tc_479
tc_481,concat_tc_481
tc_483,concat_tc_483
tc_484,concat_tc_484
tc_486,concat_tc_486
tc_489,concat_tc_489
tc_491,concat_tc_491
tc_493,concat_tc_493
tc_494,concat_tc_494
tc_495,concat_tc_495
tc_497,concat_tc_497
tc_498,concat_tc_498
tc_504,concat_tc_504
tc_505,concat_tc_505
tc_506,concat_tc_506
tc_507,concat_tc_507
tc_508,concat_tc_508
tc_512,concat_tc_512
tc_514,concat_tc_514
tc_521,concat_tc_521
tc_522,concat_tc_522
tc_523,concat_tc_523
tc_524,concat_tc_524
tc_526,concat_tc_526
tc_527,concat_tc_527
tc_528,concat_tc_528
tc_531,concat_tc_531
tc_534,concat_tc_534
tc_535,concat_tc_535
tc_536,concat_tc_536
tc_545,concat_tc_545
tc_546,concat_tc_546
tc_547,concat_tc_547
tc_550,concat_tc_550
tc_553,concat_tc_553
tc_555,concat_tc_555
tc_560,concat_tc_560
tc_562,concat_tc_562
tc_565,concat_tc_565
tc_566,concat_tc_566
tc_567,concat_tc_567
tc_569,concat_tc_569
tc_570,concat_tc_570
tc_571,concat_tc_571
tc_572,concat_tc_572
tc_574,concat_tc_574
tc_575,concat_tc_575
tc_576,concat_tc_576
tc_577,concat_tc_577
tc_578,concat_tc_578
tc_579,concat_tc_579
tc_581,concat_tc_581
tc_582,concat_tc_582
tc_584,concat_tc_584
tc_589,concat_tc_589
tc_591,concat_tc_591
tc_592,concat_tc_592
tc_594,concat_tc_594
tc_597,concat_tc_597
tc_598,concat_tc_598
tc_599,concat_tc_599
tc_600,concat_tc_600
tc_602,concat_tc_602
tc_605,concat_tc_605
tc_615,concat_tc_615
tc_616,concat_tc_616
tc_617,concat_tc_617
tc_618,concat_tc_618
tc_619,concat_tc_619
tc_620,concat_tc_620
tc_621,concat_tc_621
tc_623,concat_tc_623
tc_624,concat_tc_624
tc_625,concat_tc_625
tc_627,concat_tc_627
tc_628,concat_tc_628
tc_629,concat_tc_629
tc_630,concat_tc_630
tc_631,concat_tc_631
tc_632,concat_tc_632
tc_634,concat_tc_634
tc_637,concat_tc_637
tc_638,concat_tc_638
tc_639,concat_tc_639
tc_640,concat_tc_640
tc_642,concat_tc_642
tc_643,concat_tc_643
tc_646,concat_tc_646
tc_647,concat_tc_647
tc_648,concat_tc_648
tc_649,concat_tc_649
tc_650,concat_tc_650
tc_651,concat_tc_651
tc_652,concat_tc_652
tc_654,concat_tc_654
tc_655,concat_tc_655
tc_663,concat_tc_663
tc_669,concat_tc_669
tc_670,concat_tc_670
tc_671,concat_tc_671
tc_673,concat_tc_673
tc_674,concat_tc_674
tc_675,concat_tc_675
tc_676,concat_tc_676
tc_677,concat_tc_677
tc_679,concat_tc_679
tc_680,concat_tc_680
tc_681,concat_tc_681
tc_684,concat_tc_684
tc_685,concat_tc_685
tc_686,concat_tc_686
tc_689,concat_tc_689
tc_692,concat_tc_692
tc_696,concat_tc_696
tc_697,concat_tc_697
tc_701,concat_tc_701
tc_702,concat_tc_702
tc_703,concat_tc_703
tc_706,concat_tc_706
tc_707,concat_tc_707
tc_708,concat_tc_708
tc_709,concat_tc_709
tc_710,concat_tc_710
tc_711,concat_tc_711
tc_712,concat_tc_712
tc_713,concat_tc_713
tc_714,concat_tc_714
tc_716,concat_tc_716
tc_720,concat_tc_720
tc_722,concat_tc_722
tc_726,concat_tc_726
tc_727,concat_tc_727
tc_728,concat_tc_728
tc_729,concat_tc_729
tc_730,concat_tc_730
tc_732,concat_tc_732
tc_733,concat_tc_733
tc_735,concat_tc_735
tc_736,concat_tc_736
tc_738,concat_tc_738
tc_740,concat_tc_740
tc_742,concat_tc_742
tc_743,concat_tc_743
tc_744,concat_tc_744
tc_745,concat_tc_745
tc_746,concat_tc_746
tc_748,concat_tc_748
tc_749,concat_tc_749
tc_750,concat_tc_750
tc_752,concat_tc_752
tc_753,concat_tc_753
tc_754,concat_tc_754
tc_755,concat_tc_755
tc_758,concat_tc_758
tc_760,concat_tc_760
tc_762,concat_tc_762
tc_763,concat_tc_763
tc_764,concat_tc_764
tc_765,concat_tc_765
tc_767,concat_tc_767
tc_769,concat_tc_769
tc_770,concat_tc_770
tc_771,concat_tc_771
tc_772,concat_tc_772
tc_773,concat_tc_773
tc_774,concat_tc_774
tc_775,concat_tc_775
tc_776,concat_tc_776
tc_777,concat_tc_777
tc_779,concat_tc_779
tc_780,concat_tc_780
tc_782,concat_tc_782
tc_784,concat_tc_784
tc_785,concat_tc_785
tc_787,concat_tc_787
tc_788,concat_tc_788
tc_789,concat_tc_789
tc_790,concat_tc_790
tc_792,concat_tc_792
tc_793,concat_tc_793
tc_794,concat_tc_794
tc_796,concat_tc_796
tc_797,concat_tc_797
tc_799,concat_tc_799
tc_800,concat_tc_800
tc_801,concat_tc_801
tc_802,concat_tc_802
tc_803,concat_tc_803
tc_806,concat_tc_806
tc_808,concat_tc_808
tc_809,concat_tc_809
tc_810,concat_tc_810
tc_811,concat_tc_811
tc_813,concat_tc_813
tc_815,concat_tc_815
tc_816,concat_tc_816
tc_817,concat_tc_817
tc_819,concat_tc_819
tc_821,concat_tc_821
tc_824,concat_tc_824
tc_825,concat_tc_825
tc_828,concat_tc_828
tc_830,concat_tc_830
tc_831,concat_tc_831
tc_834,concat_tc_834
tc_835,concat_tc_835
tc_836,concat_tc_836
tc_838,concat_tc_838
tc_839,concat_tc_839
tc_842,concat_tc_842
tc_843,concat_tc_843
tc_845,concat_tc_845
tc_846,concat_tc_846
tc_848,concat_tc_848
tc_850,concat_tc_850
tc_851,concat_tc_851
tc_852,concat_tc_852
tc_853,concat_tc_853
tc_855,concat_tc_855
tc_856,concat_tc_856
tc_857,concat_tc_857
tc_858,concat_tc_858
tc_859,concat_tc_859
tc_860,concat_tc_860
tc_862,concat_tc_862
tc_863,concat_tc_863
tc_864,concat_tc_864
tc_865,concat_tc_865
tc_867,concat_tc_867
tc_868,concat_tc_868
tc_869,concat_tc_869
tc_870,concat_tc_870
tc_871,concat_tc_871
tc_873,concat_tc_873
tc_874,concat_tc_874
tc_876,concat_tc_876
tc_877,concat_tc_877
tc_878,concat_tc_878
tc_879,concat_tc_879
tc_882,concat_tc_882
tc_883,concat_tc_883
tc_884,concat_tc_884
tc_885,concat_tc_885
tc_887,concat_tc_887
tc_889,concat_tc_889
tc_892,concat_tc_892
tc_893,concat_tc_893
tc_895,concat_tc_895
tc_896,concat_tc_896
tc_898,concat_tc_898
tc_900,concat_tc_900
tc_901,concat_tc_901
tc_902,concat_tc_902
tc_906,concat_tc_906
tc_907,concat_tc_907
tc_908,concat_tc_908
tc_909,concat_tc_909
tc_911,concat_tc_911
tc_913,concat_tc_913
tc_915,concat_tc_915
tc_917,concat_tc_917
tc_918,concat_tc_918
tc_919,concat_tc_919
tc_920,concat_tc_920
tc_921,concat_tc_921
tc_922,concat_tc_922
tc_923,concat_tc_923
tc_924,concat_tc_924
tc_926,concat_tc_926
tc_927,concat_tc_927
tc_928,concat_tc_928
tc_929,concat_tc_929
tc_930,concat_tc_930
tc_931,concat_tc_931
tc_933,concat_tc_933
tc_934,concat_tc_934
tc_936,concat_tc_936
tc_937,concat_tc_937
tc_939,concat_tc_939
tc_941,concat_tc_941
tc_942,concat_tc_942
tc_943,concat_tc_943
tc_944,concat_tc_944
tc_949,concat_tc_949
tc_950,concat_tc_950
tc_951,concat_tc_951
tc_953,concat_tc_953
tc_956,concat_tc_956
tc_958,concat_tc_958
tc_959,concat_tc_959
tc_960,concat_tc_960
tc_963,concat_tc_963
tc_964,concat_tc_964
tc_965,concat_tc_965
tc_966,concat_tc_966
tc_967,concat_tc_967
tc_968,concat_tc_968
tc_970,concat_tc_970
tc_971,concat_tc_971
tc_973,concat_tc_973
tc_975,concat_tc_975
tc_976,concat_tc_976
tc_978,concat_tc_978
tc_979,concat_tc_979
tc_983,concat_tc_983
tc_984,concat_tc_984
tc_986,concat_tc_986
tc_987,concat_tc_987
tc_988,concat_tc_988
tc_991,concat_tc_991
tc_992,concat_tc_992
tc_993,concat_tc_993
tc_994,concat_tc_994
tc_997,concat_tc_997
tc_1001,concat_tc_1001
tc_1002,concat_tc_1002
tc_1005,concat_tc_1005
tc_1006,concat_tc_1006
tc_1010,concat_tc_1010
tc_1011,concat_tc_1011
tc_1012,concat_tc_1012
tc_1013,concat_tc_1013
tc_1014,concat_tc_1014
tc_1015,concat_tc_1015
tc_1016,concat_tc_1016
tc_1017,concat_tc_1017
tc_1018,concat_tc_1018
tc_1019,concat_tc_1019
tc_1021,concat_tc_1021
tc_1022,concat_tc_1022
tc_1025,concat_tc_1025
tc_1026,concat_tc_1026
tc_1027,concat_tc_1027
tc_1030,concat_tc_1030
tc_1031,concat_tc_1031
tc_1032,concat_tc_1032
tc_1035,concat_tc_1035
tc_1036,concat_tc_1036
tc_1038,concat_tc_1038
tc_1039,concat_tc_1039
tc_1040,concat_tc_1040
tc_1041,concat_tc_1041
tc_1042,concat_tc_1042
tc_1043,concat_tc_1043
tc_1044,concat_tc_1044
tc_1045,concat_tc_1045
tc_1046,concat_tc_1046
tc_1047,concat_tc_1047
tc_1048,concat_tc_1048
tc_1049,concat_tc_1049
tc_1050,concat_tc_1050
tc_1051,concat_tc_1051
tc_1052,concat_tc_1052
tc_1054,concat_tc_1054
tc_1056,concat_tc_1056
tc_1058,concat_tc_1058
tc_1059,concat_tc_1059
tc_1060,concat_tc_1060
tc_1061,concat_tc_1061
tc_1062,concat_tc_1062
tc_1063,concat_tc_1063
tc_1064,concat_tc_1064
tc_1066,concat_tc_1066
tc_1071,concat_tc_1071
tc_1072,concat_tc_1072
tc_1074,concat_tc_1074
tc_1075,concat_tc_1075
tc_1076,concat_tc_1076
tc_1080,concat_tc_1080
tc_1081,concat_tc_1081
tc_1084,concat_tc_1084
tc_1086,concat_tc_1086
tc_1088,concat_tc_1088
tc_1089,concat_tc_1089
tc_1090,concat_tc_1090
tc_1091,concat_tc_1091
tc_1092,concat_tc_1092
tc_1093,concat_tc_1093
tc_1094,concat_tc_1094
tc_1097,concat_tc_1097
tc_1100,concat_tc_1100
tc_1101,concat_tc_1101
tc_1102,concat_tc_1102
tc_1103,concat_tc_1103
tc_1104,concat_tc_1104
tc_1106,concat_tc_1106
tc_1107,concat_tc_1107
tc_1109,concat_tc_1109
tc_1110,concat_tc_1110
tc_1111,concat_tc_1111
tc_1112,concat_tc_1112
tc_1113,concat_tc_1113
tc_1116,concat_tc_1116
tc_1117,concat_tc_1117
tc_1118,concat_tc_1118
tc_1119,concat_tc_1119
tc_1121,concat_tc_1121
tc_1122,concat_tc_1122
tc_1125,concat_tc_1125
tc_1126,concat_tc_1126
tc_1127,concat_tc_1127
tc_1129,concat_tc_1129
tc_1130,concat_tc_1130
tc_1132,concat_tc_1132
tc_1133,concat_tc_1133
tc_1134,concat_tc_1134
tc_1135,concat_tc_1135
tc_1136,concat_tc_1136
tc_1137,concat_tc_1137
tc_1138,concat_tc_1138
tc_1139,concat_tc_1139
tc_1140,concat_tc_1140
tc_1141,concat_tc_1141
tc_1142,concat_tc_1142
tc_1143,concat_tc_1143
tc_1146,concat_tc_1146
tc_1147,concat_tc_1147
tc_1148,concat_tc_1148
tc_1149,concat_tc_1149
tc_1151,concat_tc_1151
tc_1153,concat_tc_1153
tc_1154,concat_tc_1154
tc_1155,concat_tc_1155
tc_1158,concat_tc_1158
tc_1159,concat_tc_1159
tc_1160,concat_tc_1160
tc_1161,concat_tc_1161
tc_1162,concat_tc_1162
tc_1163,concat_tc_1163
tc_1165,concat_tc_1165
tc_1166,concat_tc_1166
tc_1167,concat_tc_1167
tc_1168,concat_tc_1168
tc_1169,concat_tc_1169
tc_1170,concat_tc_1170
tc_1171,concat_tc_1171
tc_1172,concat_tc_1172
tc_1174,concat_tc_1174
tc_1175,concat_tc_1175
tc_1177,concat_tc_1177
tc_1178,concat_tc_1178
tc_1180,concat_tc_1180
tc_1182,concat_tc_1182
tc_1184,concat_tc_1184
tc_1185,concat_tc_1185
tc_1186,concat_tc_1186
tc_1187,concat_tc_1187
tc_1190,concat_tc_1190
tc_1191,concat_tc_1191
tc_1192,concat_tc_1192
tc_1196,concat_tc_1196
tc_1197,concat_tc_1197
tc_1198,concat_tc_1198
tc_1199,concat_tc_1199
tc_1201,concat_tc_1201
tc_1202,concat_tc_1202
tc_1203,concat_tc_1203
tc_1204,concat_tc_1204
tc_1205,concat_tc_1205
tc_1206,concat_tc_1206
tc_1207,concat_tc_1207
tc_1209,concat_tc_1209
tc_1212,concat_tc_1212
tc_1213,concat_tc_1213
tc_1214,concat_tc_1214
tc_1215,concat_tc_1215
tc_1217,concat_tc_1217
tc_1219,concat_tc_1219
tc_1221,concat_tc_1221
tc_1222,concat_tc_1222
tc_1223,concat_tc_1223
tc_1224,concat_tc_1224
tc_1225,concat_tc_1225
tc_1226,concat_tc_1226
tc_1227,concat_tc_1227
tc_1228,concat_tc_1228
tc_1230,concat_tc_1230
tc_1231,concat_tc_1231
tc_1233,concat_tc_1233
tc_1234,concat_tc_1234
tc_1235,concat_tc_1235
tc_1236,concat_tc_1236
tc_1238,concat_tc_1238
tc_1239,concat_tc_1239
tc_1240,concat_tc_1240
tc_1242,concat_tc_1242
tc_1244,concat_tc_1244
tc_1246,concat_tc_1246
tc_1252,concat_tc_1252
tc_1253,concat_tc_1253
tc_1256,concat_tc_1256
tc_1257,concat_tc_1257
tc_1258,concat_tc_1258
tc_1259,concat_tc_1259
tc_1261,concat_tc_1261
tc_1262,concat_tc_1262
tc_1263,concat_tc_1263
tc_1264,concat_tc_1264
tc_1265,concat_tc_1265
tc_1268,concat_tc_1268
tc_1269,concat_tc_1269
tc_1270,concat_tc_1270
tc_1272,concat_tc_1272
tc_1273,concat_tc_1273
tc_1274,concat_tc_1274
tc_1275,concat_tc_1275
tc_1276,concat_tc_1276
tc_1279,concat_tc_1279
tc_1280,concat_tc_1280
tc_1281,concat_tc_1281
tc_1286,concat_tc_1286
tc_1289,concat_tc_1289
tc_1291,concat_tc_1291
tc_1292,concat_tc_1292
tc_1293,concat_tc_1293
tc_1294,concat_tc_1294
tc_1295,concat_tc_1295
tc_1296,concat_tc_1296
tc_1297,concat_tc_1297
tc_1299,concat_tc_1299
tc_1301,concat_tc_1301
tc_1302,concat_tc_1302
tc_1306,concat_tc_1306
tc_1310,concat_tc_1310
tc_1311,concat_tc_1311
tc_1312,concat_tc_1312
tc_1314,concat_tc_1314
tc_1315,concat_tc_1315
tc_1316,concat_tc_1316
tc_1317,concat_tc_1317
tc_1318,concat_tc_1318
tc_1319,concat_tc_1319
tc_1320,concat_tc_1320
tc_1322,concat_tc_1322
tc_1325,concat_tc_1325
tc_1326,concat_tc_1326
tc_1327,concat_tc_1327
tc_1329,concat_tc_1329
tc_1330,concat_tc_1330
tc_1332,concat_tc_1332
tc_1334,concat_tc_1334
tc_1335,concat_tc_1335
tc_1336,concat_tc_1336
tc_1339,concat_tc_1339
tc_1342,concat_tc_1342
tc_1343,concat_tc_1343
tc_1344,concat_tc_1344
tc_1345,concat_tc_1345
tc_1346,concat_tc_1346
tc_1349,concat_tc_1349
tc_1350,concat_tc_1350
tc_1351,concat_tc_1351
tc_1352,concat_tc_1352
tc_1353,concat_tc_1353
tc_1354,concat_tc_1354
tc_1355,concat_tc_1355
tc_1356,concat_tc_1356
tc_1357,concat_tc_1357
tc_1358,concat_tc_1358
tc_1359,concat_tc_1359
tc_1360,concat_tc_1360
tc_1361,concat_tc_1361
tc_1362,concat_tc_1362
tc_1363,concat_tc_1363
tc_1364,concat_tc_1364
tc_1367,concat_tc_1367
tc_1368,concat_tc_1368
tc_1369,concat_tc_1369
tc_1371,concat_tc_1371
tc_1372,concat_tc_1372
tc_1374,concat_tc_1374
tc_1375,concat_tc_1375
tc_1376,concat_tc_1376
tc_1378,concat_tc_1378
tc_1380,concat_tc_1380
tc_1381,concat_tc_1381
tc_1383,concat_tc_1383
tc_1384,concat_tc_1384
tc_1385,concat_tc_1385
tc_1388,concat_tc_1388
tc_1389,concat_tc_1389
tc_1390,concat_tc_1390
tc_1394,concat_tc_1394
tc_1395,concat_tc_1395
tc_1396,concat_tc_1396
tc_1398,concat_tc_1398
tc_1399,concat_tc_1399
tc_1400,concat_tc_1400
tc_1401,concat_tc_1401
tc_1402,concat_tc_1402
tc_1403,concat_tc_1403
tc_1404,concat_tc_1404
tc_1406,concat_tc_1406
tc_1407,concat_tc_1407
tc_1408,concat_tc_1408
tc_1409,concat_tc_1409
tc_1412,concat_tc_1412
tc_1413,concat_tc_1413
tc_1414,concat_tc_1414
tc_1415,concat_tc_1415
tc_1416,concat_tc_1416
tc_1417,concat_tc_1417
tc_1418,concat_tc_1418
tc_1419,concat_tc_1419
tc_1423,concat_tc_1423
tc_1424,concat_tc_1424
tc_1425,concat_tc_1425
tc_1426,concat_tc_1426
tc_1427,concat_tc_1427
tc_1431,concat_tc_1431
tc_1432,concat_tc_1432
tc_1433,concat_tc_1433
tc_1434,concat_tc_1434
tc_1435,concat_tc_1435
tc_1436,concat_tc_1436
tc_1437,concat_tc_1437
tc_1440,concat_tc_1440
tc_1444,concat_tc_1444
tc_1445,concat_tc_1445
tc_1447,concat_tc_1447
tc_1448,concat_tc_1448
tc_1449,concat_tc_1449
tc_1450,concat_tc_1450
tc_1451,concat_tc_1451
tc_1453,concat_tc_1453
tc_1461,concat_tc_1461
tc_1463,concat_tc_1463
tc_1464,concat_tc_1464
tc_1465,concat_tc_1465
tc_1466,concat_tc_1466
tc_1473,concat_tc_1473
tc_1475,concat_tc_1475
tc_1476,concat_tc_1476
tc_1478,concat_tc_1478
tc_1479,concat_tc_1479
tc_1482,concat_tc_1482
tc_1483,concat_tc_1483
tc_1488,concat_tc_1488
tc_1489,concat_tc_1489
tc_1490,concat_tc_1490
tc_1491,concat_tc_1491
tc_1493,concat_tc_1493
tc_1494,concat_tc_1494
tc_1497,concat_tc_1497
tc_1498,concat_tc_1498
tc_1500,concat_tc_1500
tc_1503,concat_tc_1503
tc_1505,concat_tc_1505
tc_1506,concat_tc_1506
tc_1507,concat_tc_1507
tc_1508,concat_tc_1508
tc_1509,concat_tc_1509
tc_1511,concat_tc_1511
tc_1512,concat_tc_1512
tc_1513,concat_tc_1513
tc_1514,concat_tc_1514
tc_1515,concat_tc_1515
tc_1518,concat_tc_1518
tc_1519,concat_tc_1519
tc_1521,concat_tc_1521
tc_1522,concat_tc_1522
tc_1523,concat_tc_1523
tc_1524,concat_tc_1524
tc_1525,concat_tc_1525
tc_1527,concat_tc_1527
tc_1528,concat_tc_1528
tc_1529,concat_tc_1529
tc_1531,concat_tc_1531
tc_1533,concat_tc_1533
tc_1534,concat_tc_1534
tc_1536,concat_tc_1536
tc_1538,concat_tc_1538
tc_1539,concat_tc_1539
tc_1541,concat_tc_1541
tc_1543,concat_tc_1543
tc_1544,concat_tc_1544
tc_1545,concat_tc_1545
tc_1546,concat_tc_1546
tc_1547,concat_tc_1547
tc_1548,concat_tc_1548
tc_1549,concat_tc_1549
tc_1550,concat_tc_1550
tc_1551,concat_tc_1551
tc_1552,concat_tc_1552
tc_1553,concat_tc_1553
tc_1554,concat_tc_1554
tc_1555,concat_tc_1555
tc_1556,concat_tc_1556
tc_1557,concat_tc_1557
tc_1558,concat_tc_1558
tc_1560,concat_tc_1560
tc_1563,concat_tc_1563
tc_1564,concat_tc_1564
tc_1565,concat_tc_1565
tc_1566,concat_tc_1566
tc_1567,concat_tc_1567
tc_1568,concat_tc_1568
tc_1569,concat_tc_1569
tc_1571,concat_tc_1571
tc_1572,concat_tc_1572
tc_1573,concat_tc_1573
tc_1574,concat_tc_1574
tc_1575,concat_tc_1575
tc_1576,concat_tc_1576
tc_1577,concat_tc_1577
tc_1579,concat_tc_1579
tc_1580,concat_tc_1580
tc_1581,concat_tc_1581
tc_1583,concat_tc_1583
tc_1584,concat_tc_1584
tc_1586,concat_tc_1586
tc_1588,concat_tc_1588
tc_1591,concat_tc_1591
tc_1592,concat_tc_1592
tc_1593,concat_tc_1593
tc_1594,concat_tc_1594
tc_1595,concat_tc_1595
tc_1596,concat_tc_1596
tc_1597,concat_tc_1597
tc_1598,concat_tc_1598
tc_1599,concat_tc_1599
tc_1600,concat_tc_1600
tc_1601,concat_tc_1601
tc_1603,concat_tc_1603
tc_1607,concat_tc_1607
tc_1610,concat_tc_1610
tc_1612,concat_tc_1612
tc_1614,concat_tc_1614
tc_1615,concat_tc_1615
tc_1617,concat_tc_1617
tc_1619,concat_tc_1619
tc_1621,concat_tc_1621
tc_1624,concat_tc_1624
tc_1625,concat_tc_1625
tc_1626,concat_tc_1626
tc_1628,concat_tc_1628
tc_1629,concat_tc_1629
tc_1630,concat_tc_1630
tc_1633,concat_tc_1633
tc_1634,concat_tc_1634
tc_1637,concat_tc_1637
tc_1639,concat_tc_1639
tc_1640,concat_tc_1640
tc_1643,concat_tc_1643
tc_1644,concat_tc_1644
tc_1647,concat_tc_1647
tc_1648,concat_tc_1648
tc_1651,concat_tc_1651
tc_1652,concat_tc_1652
tc_1655,concat_tc_1655
tc_1659,concat_tc_1659
tc_1661,concat_tc_1661
tc_1663,concat_tc_1663
